Index,J2000_NAME,OCARS_NAME,DEC,RA,DEC_deg,RA_deg,INDEX_NEW_TABLE,RA_ERR_sec,DEC_ERR_arcsec,RA_ERR_deg,DEC_ERR_deg,SKY_PA_ERR_deg,RA_DEC_CORRELATION,SEMIMAJOR_AXIS_OF_ERROR_ELLIPSE_mas,CATALOG_CODE,EPOCH_YEAR,GAL_LON_deg,GAL_LAT_deg,Z_FROM_NED_OR_LITERATURE,Z,Z_FLAG,Z_SIMBAD,Z_SIMBAD_FLAG,Z_SDSS,OPTICAL_OR_NIR_MAGNITUDE,BAND,OBJECT_PRIMARY_TYPE,OTHER_ID_AND_NOTES,J2000,frequencies,pa,pa_err,flag180,separation,sys_err,tot_err
100,J0010-3027,0008-307,-30:27:47.4189021,00:10:35.74220770,-30.46317191725,2.6489258654166665,134.0,8.96e-06,0.0002712,3.733333333333333e-08,7.533333333333333e-08,8.191850653423175e-08,0.1617,0.272,1.0,2015.0,10.078,-80.456,NED (fiducial),1.19,,1.189,,,19.1,R,AQ,"ICRF J001035.7-302747 S/X; PKS 0008-307
",J0010-3027,"2,8",-126,3,,4.5,7.447183098591549,8.028731911326197
101,J0010-3054,0008-311,-30:54:15.3001644,00:10:34.90971952,-30.904250045666664,2.645457164666666,133.0,1.897e-05,0.0006166,7.904166666666667e-08,1.712777777777778e-07,1.842162094090304e-07,-0.0844,0.617,1.0,2015.0,7.59,-80.308,NED (fiducial),0.9989,,0.99,,,18.2,R,AQ,"ICRF J001034.9-305415 S/X; 2QZ J001034.9-305416; GALEXASC J001034.90-305415.3
",J0010-3054,8,-115,5,,1.0,7.447183098591549,8.969979715916175
102,J0010-4153,0008-421,-41:53:10.7788843,00:10:52.51756175,-41.88632746786111,2.718823173958333,140.0,3.465e-05,0.0010446,1.44375e-07,2.901666666666667e-07,3.0943381597032744e-07,-0.2101,1.0482,1.0,2015.0,329.683,-73.07,NED (fiducial),1.12,,1.12,,,23.4,R,G ,"ICRF J001052.5-415310 S/X; PKS 0008-42
",J0010-4153,2,18,4,,74.6,21.285211267605632,21.65779810383793
103,J0011+0057,0008+006,+00:57:51.8770044,00:11:30.40320483,0.964410279,2.876680020125,148.0,6.42e-06,0.000196,2.675e-08,5.4444444444444464e-08,6.06593547303233e-08,0.0189,0.196,1.0,2015.0,102.449,-60.31,NED (fiducial),1.4909,,1.49,,1.491,19.8,R,AQ,"ICRF J001130.4+005751 S/X; CGRaBS J0011+0057; NVSS J001130+005751
",J0011+0057,"2,8",-117,3,,2.2,7.447183098591549,8.028731911326197
115,J0012-3846,0009-390,-38:46:19.2686600,00:12:15.15063800,-38.77201907222222,3.063127658333333,160.0,4.867e-05,0.00153,2.0279166666666666e-07,4.250000000000001e-07,4.534559296446797e-07,-0.081,1.5308,39.0,2015.0,335.584,-75.767,NED (fiducial),0.0756,,0.05,,,15.0,R,G ,"AT20G J001215-384618
",J0012-3846,5,6,5,,1.5,21.285211267605632,21.86458823546892
116,J0012-3954,0010-401,-39:54:26.0554777,00:12:59.90981802,-39.90723763269445,3.24962424175,165.0,1.04e-05,0.0003203,4.333333333333333e-08,8.897222222222221e-08,9.497881159915885e-08,0.4165,0.3246,1.0,2015.0,332.458,-74.939,,,,,,,18.1,R,AL,"ICRF J001259.9-395426 S/X; PKS 0010-401
",J0012-3954,"2,8",105,3,,5.1,0.0,3.0
123,J0013-0423,0011-046,-04:23:52.2949485,00:13:54.13096120,-4.397859707916667,3.475545671666666,173.0,9.06e-06,0.0001826,3.774999999999999e-08,5.0722222222222224e-08,6.316190959012716e-08,-0.2493,0.1886,1.0,2015.0,99.787,-65.569,NED (fiducial),1.0761,,1.0758,,1.0761,19.9,R,AQ,"ICRF J001354.1-042352 S/X; PKS 0011-046
",J0013-0423,"2,8",149,3,,5.3,4.225352112676056,5.182045973946585
132,J0015-0034,0012-008,-00:34:59.3386317,00:15:03.39697238,-0.5831496199166667,3.7641540515833327,184.0,1.813e-05,0.0006856,7.554166666666666e-08,1.904444444444445e-07,2.0487810694736625e-07,0.1295,0.6867,3.0,2015.0,103.22,-62.054,NED (fiducial),0.1727,,0.1727,,0.1727,16.6,r,G ,"PKS 0012-008
",J0015-0034,8,-173,5,,3.4,7.447183098591549,8.969979715916175
137,J0016-0015,0013-005,-00:15:12.4454125,00:16:11.08855044,-0.2534570590277777,4.0462022935,200.0,2.98e-06,5.88e-05,1.2416666666666664e-08,1.6333333333333334e-08,2.05170263907982e-08,-0.1033,0.0592,1.0,2015.0,103.999,-61.822,NED (fiducial),1.5764,,1.5764,,1.5765,19.7,R,AQ,"ICRF J001611.0-001512 S/X DEF; PMN J0016-0015
",J0016-0015,"2,8",-162,8,,2.2,7.447183098591549,10.929800368897302
144,J0017-0512,0015-054,-05:12:41.7681960,00:17:35.81719790,-5.2116022766666665,4.399238324583333,209.0,1.057e-05,0.0001343,4.404166666666666e-08,3.730555555555556e-08,5.757924058439044e-08,0.1498,0.1618,1.0,2015.0,101.239,-66.647,NED (fiducial),0.227,,0.226,,,17.6,R,AQ,"ICRF J001735.8-051241 S/X; CGRaBS J0017-0512; GALEXASC J001735.81-051240.7
",J0017-0512,"2,8,15",-123,3,,1.1,7.447183098591549,8.028731911326197
145,J0017-0650,0014-071,-06:50:33.4338600,00:17:09.37710700,-6.842620516666666,4.289071279166666,207.0,2.933e-05,0.00117,1.2220833333333332e-07,3.25e-07,3.4691191515145255e-07,-0.097,1.1709,39.0,2015.0,99.515,-68.142,LITERATURE,,a,,,,18.3,R,G ,"AT20G J001709-065033;; z from milliquas (http://quasars.org/milliquas.htm)
",J0017-0650,5,17,5,,4.5,21.285211267605632,21.86458823546892
146,J0017-2748,0015-280,-27:48:21.5741135,00:17:59.00598790,-27.80599280930556,4.495858282916666,214.0,1.181e-05,0.000407,4.9208333333333336e-08,1.1305555555555557e-07,1.21144963594212e-07,-0.0154,0.407,1.0,2015.0,25.791,-82.55,NED (fiducial),1.1687,,1.16,,,17.8,R,AQ,"ICRF J001759.0-274821 S/X; 2QZ J001759.0-274822
",J0017-2748,"2,8",24,3,,4.3,21.285211267605632,21.495586028452585
147,J0018+0415,0016+039,+04:15:44.3097626,00:18:37.69810852,4.262308267388889,4.657075452166666,221.0,8.1e-06,0.0002647,3.375e-08,7.352777777777778e-08,8.086473011102585e-08,-0.0045,0.2647,3.0,2015.0,107.523,-57.625,NED (fiducial),2.6993,,2.6993,,2.6993,19.7,R,AQ,"PMN J0018+0416; SDSS J001837.69+041544.2
",J0018+0415,"5,8",-161,4,,4.0,7.447183098591549,8.453433391465719
160,J0019-2952,,-29:52:55.640,00:19:24.8217,-29.882122222222225,4.853423749999998,,,,,,,,,,,,,,,,,,,,,,,J0019-2952,5,26,5,,10.1,21.285211267605632,21.86458823546892
161,J0019-3031,0017-307,-30:31:19.3490280,00:19:42.67529268,-30.522041396666665,4.9278137195,236.0,7.07e-06,0.0002148,2.9458333333333334e-08,5.966666666666667e-08,6.483882375538329e-08,-0.1324,0.2152,1.0,2015.0,5.025,-82.27,NED (fiducial),2.677,,2.677,,,19.6,R,AQ,"ICRF J001942.6-303119 S/X; PKS 0017-307
",J0019-3031,"2,8",-24,3,,4.5,21.285211267605632,21.495586028452585
162,J0020+0323,,+03:23:58.080,00:20:50.2476,3.399466666666666,5.209364999999999,,,,,,,,,,,,,,,,,,,,,,,J0020+0323,8,155,5,,46.1,4.225352112676056,6.546266147667387
167,J0020-3330,0017-337,-33:30:04.6810800,00:20:09.95156200,-33.5013003,5.041464841666666,242.0,0.00022067,0.00787,9.194583333333332e-07,2.186111111111111e-06,2.316663268376043e-06,-0.835,8.212,39.0,2015.0,347.654,-80.724,,,,,,,    , ,R ,"PMN J0020-3330
",J0020-3330,5,-61,5,,6.1,4.014084507042253,6.411932191600021
172,J0022+0014,0019-000,+00:14:56.1630395,00:22:25.42584644,0.2489341776388889,5.6059410268333325,259.0,1.948e-05,0.0006018,8.116666666666667e-08,1.6716666666666666e-07,1.8582948599034184e-07,-0.1902,0.6051,1.0,2015.0,107.462,-61.748,NED (fiducial),0.306,,0.306,,0.306,18.1,R,G ,"ICRF J002225.4+001456 S/X; 4C +00.02
",J0022+0014,2,171,4,,6.3,4.225352112676056,5.818384696468256
173,J0022+0147,0020+015,+01:47:02.4264373,00:22:38.22511536,1.7840073436944444,5.659271313999999,262.0,7.4e-06,0.0001974,3.083333333333333e-08,5.4833333333333335e-08,6.290045697791203e-08,0.0613,0.1976,3.0,2015.0,108.301,-60.267,NED (fiducial),1.1919,,,,1.192,19.3,R,V ,"PMN J0022+0147; GALEXASC J002238.22+014702.5
",J0022+0147,"5,8",-148,4,,1.5,7.447183098591549,8.453433391465719
187,J0024-0412,0022-044,-04:12:01.5490533,00:24:45.98320247,-4.200430292583333,6.1915966769583335,288.0,8.17e-06,0.0002233,3.4041666666666665e-08,6.202777777777779e-08,7.071112511973346e-08,0.0223,0.2233,1.0,2015.0,106.253,-66.205,NED (fiducial),1.9545,,1.9545,,1.9545,18.8,R,AQ,"ICRF J002445.9-041201 S/X; PKS 0022-044
",J0024-0412,"2,8",86,3,,2.8,0.0,3.0
194,J0025-2602,0023-263,-26:02:12.6141092,00:25:49.15629900,-26.03683725255556,6.454817912499999,294.0,2.336e-05,0.0006586,9.733333333333333e-08,1.8294444444444448e-07,2.027734609595597e-07,0.3679,0.6711,1.0,2015.0,42.275,-84.17,NED (fiducial),0.3216,,0.322,,,18.1,R,AL,"ICRF J002549.1-260212 S/X; PKS 0023-26
",J0025-2602,"2,5,8",134,3,,6.0,4.225352112676056,5.182045973946585
195,J0025-3718,0023-375,-37:18:09.7251700,00:25:31.93948900,-37.30270143611111,6.3830812041666665,291.0,0.00017667,0.00668,7.361249999999999e-07,1.855555555555556e-06,1.9457521866993308e-06,-0.585,6.8004,39.0,2015.0,329.559,-78.452,,,,,,,    , ,I ,"PMN J0025-3718; NVSS J002531-371810
",J0025-3718,5,17,5,,16.2,21.285211267605632,21.86458823546892
199,J0026-3512,0023-354,-35:12:48.7924027,00:26:16.38710106,-35.21355344519445,6.568279587749999,299.0,1.245e-05,0.000365,5.187499999999999e-08,1.013888888888889e-07,1.0989070742518117e-07,-0.1093,0.3655,1.0,2015.0,335.001,-80.292,NED (fiducial),1.996,,1.996,,,19.7,R,AQ,"ICRF J002616.3-351248 S/X; NVSS J002616-351248
",J0026-3512,8,-26,5,,19.0,21.285211267605632,21.86458823546892
205,J0027-0503,,-05:03:51.086,00:27:05.0639,-5.064190555555555,6.771099583333332,,,,,,,,,,,,,,,,,,,,,,,J0027-0503,8,155,5,,6.2,4.225352112676056,6.546266147667387
214,J0029+0509,0026+048,+05:09:34.8672348,00:29:03.59220722,5.1596853430000005,7.264967530083332,326.0,1.177e-05,0.0003054,4.9041666666666674e-08,8.483333333333333e-08,9.788936523147176e-08,-0.1254,0.3066,1.0,2015.0,112.589,-57.262,NED (fiducial),1.63,,1.6397,,1.6398,18.6,R,AQ,"ICRF J002903.5+050934 S/X; JVAS J0029+0509
",J0029+0509,"2,8",-78,3,,9.1,4.014084507042253,5.011274731011726
218,J0029-0113,0026-015,-01:13:41.7597306,00:29:00.98602604,-1.2282665918333335,7.254108441833333,325.0,1.036e-05,0.0002952,4.316666666666666e-08,8.2e-08,9.266339579574217e-08,0.1898,0.2972,1.0,2015.0,110.269,-63.547,NED (fiducial),0.0828,,0.0828,,0.0828,14.7,R,AQ,"ICRF J002900.9-011341 S/X; PKS 0026-014
",J0029-0113,"2,8",56,3,,3.0,0.0,3.0
222,J0030-0000,,-00:00:07.266,00:30:07.8885,-0.0020183333333333,7.532868749999999,,,,,,,,,,,,,,,,,,,,,,,J0030-0000,5,-173,5,,2.7,7.447183098591549,8.969979715916175
224,J0030-0211,0027-024,-02:11:56.1331670,00:30:31.82374240,-2.198925879722222,7.632598926666666,342.0,5.37e-06,0.0001677,2.2375e-08,4.6583333333333343e-08,5.167117700740087e-08,-0.004,0.1677,1.0,2015.0,110.691,-64.573,NED (fiducial),1.8037,,1.8048,,1.8037,17.2,R,AQ,"ICRF J003031.8-021156 S/X; PKS B0027-024
",J0030-0211,"2,8",-29,8,,5.6,21.285211267605632,22.73895817109055
225,J0030-4224,0027-426,-42:24:46.4826879,00:30:17.49263840,-42.41291185775,7.572885993333332,338.0,1.317e-05,0.0004046,5.4874999999999993e-08,1.123888888888889e-07,1.1946831681150992e-07,-0.2297,0.4062,1.0,2015.0,317.326,-74.119,NED (fiducial),0.492,,0.492,,,18.3,R,AQ,"ICRF J003017.4-422446 S/X; PKS 0027-426;; HB89 give z=1.66
",J0030-4224,2,-165,4,,11.5,7.447183098591549,8.453433391465719
229,J0031-3114,0029-315,-31:14:40.5298600,00:31:52.77453500,-31.24459162777778,7.969893895833333,357.0,0.00017333,0.00556,7.222083333333333e-07,1.5444444444444444e-06,1.663299520961369e-06,0.079,5.5633,39.0,2015.0,347.804,-84.071,,,,,,,20.8,R,V ,"NVSS J003152-311439
",J0031-3114,8,-34,5,,5.8,21.285211267605632,21.86458823546892
230,J0031-3922,0028-396,-39:22:49.3689611,00:31:24.33147181,-39.380380266972224,7.851381132541667,352.0,2.644e-05,0.0007482,1.1016666666666665e-07,2.078333333333333e-07,2.2460142404156766e-07,-0.3823,0.7588,1.0,2015.0,320.466,-77.058,NED (fiducial),1.2978,,1.2978,,,19.4,R,AQ,"ICRF J003124.3-392249 S/X; PKS 0028-396
",J0031-3922,8,54,5,,3.5,0.0,5.0
231,J0032+0510,0030+048,+05:10:01.5040891,00:32:59.26779617,5.167084469194445,8.246949150708332,368.0,1.539e-05,0.0005137,6.4125e-08,1.4269444444444442e-07,1.5633415499949957e-07,-0.4618,0.5265,3.0,2015.0,114.383,-57.398,LITERATURE,,a,,,,20.2,R,V ,"PMN J0032+0509;; z from milliquas (http://quasars.org/milliquas.htm)
",J0032+0510,"5,8",110,4,,2.1,4.225352112676056,5.818384696468256
236,J0032-0232,0029-028,-02:32:19.5333800,00:32:29.67579300,-2.5387592722222223,8.123649137499998,362.0,4.4e-05,0.0014,1.833333333333333e-07,3.888888888888889e-07,4.298601305137681e-07,-0.361,1.4246,39.0,2015.0,111.679,-64.996,,0.9881,,,,0.9881,18.3,R,V ,"AT20G J003229-023219
",J0032-0232,"5,8",-40,4,,5.2,4.014084507042253,5.666822251463041
238,J0032-2849,0030-290,-28:49:20.3907500,00:32:33.09713800,-28.82233076388889,8.137904741666667,364.0,4.133e-05,0.0013,1.7220833333333337e-07,3.611111111111111e-07,3.913623517143712e-07,-0.218,1.3064,39.0,2015.0,9.726,-85.5,NED (fiducial),0.3239,,0.324,,,17.2,R,AL,"AT20G J003233-284920
",J0032-2849,5,153,5,,9.4,4.225352112676056,6.546266147667387
242,J0033-0345,0031-040,-03:45:31.5126167,00:33:35.92241649,-3.758753504638889,8.399676735375,372.0,1.518e-05,0.0004842,6.325e-08,1.345e-07,1.4857193526023549e-07,-0.1446,0.4856,3.0,2015.0,111.826,-66.245,NED (fiducial),2.7097,,2.7097,,2.7097,17.7,R,AQ,"PMN J0033-0345
",J0033-0345,"5,8",-146,4,,2.8,7.447183098591549,8.453433391465719
247,J0034-0054,0032-011,-00:54:13.0350459,00:34:43.92198004,-0.9036208460833334,8.683008250166665,384.0,1.082e-05,0.0003252,4.5083333333333323e-08,9.033333333333332e-08,1.0095599315109872e-07,0.2563,0.3286,1.0,2015.0,113.549,-63.471,NED (fiducial),0.6552,,0.6552,,0.6552,19.4,R,AQ,"ICRF J003443.9-005413 S/X; NVSS J003443-005413
",J0034-0054,"2,8",82,3,,1.9,0.0,3.0
248,J0034-2945,0031-300,-29:45:09.1658900,00:34:17.80700300,-29.75254608055556,8.574195845833334,379.0,0.00012133,0.00381,5.055416666666666e-07,1.0583333333333333e-06,1.1457321850641853e-06,0.353,3.8576,39.0,2015.0,357.07,-85.409,,,,,,,    , ,R ,"NVSS J003417-294509
",J0034-2945,5,-85,5,,19.5,4.014084507042253,6.411932191600021
249,J0035+0104,,+01:04:30.680,00:35:12.9081,1.075188888888889,8.80378375,,,,,,,,,,,,,,,,,,,,,,,J0035+0104,"5,8",-147,4,,5.1,7.447183098591549,8.453433391465719
256,J0035-2340,0033-239,-23:40:18.1614700,00:35:42.94449600,-23.671711519444447,8.928935399999999,397.0,6e-05,0.00203,2.5e-07,5.638888888888889e-07,6.086014764954713e-07,0.063,2.0308,39.0,2015.0,76.304,-85.045,,,,,,,    , ,I ,"AT20G J003542-234018
",J0035-2340,8,-135,5,,4.7,7.447183098591549,8.969979715916175
261,J0036-0259,0033-032,-02:59:57.1138800,00:36:25.94681400,-2.9991983,9.108111725,408.0,1.733e-05,0.00057,7.220833333333332e-08,1.5833333333333333e-07,1.739804987191918e-07,-0.05,0.5702,39.0,2015.0,113.83,-65.605,,,,,,,22.0,R,V ,"PMN J0036-0259
",J0036-0259,"5,8",11,4,,8.6,21.285211267605632,21.65779810383793
262,J0036-0318,0034-035,-03:18:16.3598200,00:36:35.52239300,-3.304544394444444,9.148009970833332,410.0,3.867e-05,0.00125,1.6112499999999998e-07,3.472222222222223e-07,3.826725423953589e-07,-0.202,1.2569,39.0,2015.0,113.821,-65.913,NED (fiducial),1.8,,,,1.829,19.3,R,V ,"AT20G J003635-031816
",J0036-0318,8,-97,5,,3.0,4.014084507042253,6.411932191600021
276,J0037-0109,0034-014,-01:09:08.4204326,00:37:04.11088661,-1.1523390090555554,9.267128694208331,415.0,2.047e-05,0.000704,8.529166666666665e-08,1.955555555555556e-07,2.133394045339327e-07,-0.4897,0.7224,3.0,2015.0,114.776,-63.796,NED (fiducial),0.0737,,0.0735,,0.0737,14.9,R,G ,"3C 015
",J0037-0109,8,-34,5,,0.6,21.285211267605632,21.86458823546892
277,J0037-2145,0034-220,-21:45:24.7136617,00:37:14.82588844,-21.75686490602778,9.311774535166666,419.0,1.312e-05,0.0003932,5.4666666666666666e-08,1.0922222222222225e-07,1.2044641982998424e-07,-0.4607,0.4038,1.0,2015.0,91.162,-83.733,NED (fiducial),2.5133,,2.5133,,,19.2,R,AQ,"ICRF J003714.8-214524 S/X; PKS 0034-220;; G?
",J0037-2145,"2,8",145,3,,3.1,4.225352112676056,5.182045973946585
278,J0037-3344,0035-340,-33:44:42.4146642,00:37:28.86444645,-33.7451151845,9.370268526874998,425.0,1.299e-05,0.0004573,5.4125e-08,1.270277777777778e-07,1.3476491912259134e-07,-0.3262,0.4607,3.0,2015.0,326.514,-82.733,,,,,,,19.6,R,V ,"2XMM J003728.9-334442; AT20G J003728-334441
",J0037-3344,"5,8",155,4,,6.8,4.225352112676056,5.818384696468256
279,J0038+0013,,+00:13:36.506,00:38:08.5092,0.2268072222222222,9.535455,,,,,,,,,,,,,,,,,,,,,,,J0038+0013,8,102,5,,3.9,0.0,5.0
285,J0038-0117,,-01:17:22.455,00:38:49.2702,-1.289570833333333,9.7052925,,,,,,,,,,,,,,,,,,,,,,,J0038-0117,8,-174,5,,2.1,7.447183098591549,8.969979715916175
287,J0038-0207,0035-024,-02:07:40.5469964,00:38:20.52934376,-2.1279297212222223,9.585538932333332,439.0,6.4e-06,0.0002019,2.6666666666666664e-08,5.6083333333333336e-08,6.209243899524592e-08,-0.2227,0.2033,1.0,2015.0,115.228,-64.804,NED (fiducial),0.2197,,0.2204,,0.2204,17.4,R,A1,"ICRF J003820.5-020740 S/X; 3C 017
",J0038-0207,"2,8",101,3,,4.9,0.0,3.0
