J2000_NAME,OCARS_NAME,DEC,RA,DEC_deg,RA_deg,INDEX_NEW_TABLE,RA_ERR_sec,DEC_ERR_arcsec,RA_ERR_deg,DEC_ERR_deg,SKY_PA_ERR_deg,RA_DEC_CORRELATION,SEMIMAJOR_AXIS_OF_ERROR_ELLIPSE_mas,CATALOG_CODE,EPOCH_YEAR,GAL_LON_deg,GAL_LAT_deg,Z_FROM_NED_OR_LITERATURE,Z,Z_FLAG,Z_SIMBAD,Z_SIMBAD_FLAG,Z_SDSS,OPTICAL_OR_NIR_MAGNITUDE,BAND,OBJECT_PRIMARY_TYPE,OTHER_ID_AND_NOTES,J2000,frequencies,pa,pa_err,flag180,separation,sys_err,tot_err
J0001+4440,2358+443,+44:40:27.2160800,00:01:21.38526100,44.674226688888886,0.3391052541666666,18.0,6.8e-05,0.00099,2.833333333333333e-07,2.75e-07,3.40911020350768e-07,0.452,1.072,39.0,2015.0,113.64,-17.292,LITERATURE,,a,,,,19.5,R,V ,"B3 2358+443;; z from milliquas (http://quasars.org/milliquas.htm)
",J0001+4440,"5,8",-93,4,,1.9,4.014084507042253,5.666822251463041
J0001+4742,2358+474,+47:42:00.7226100,00:01:19.04190300,47.700200725,0.3293412624999999,17.0,6.4e-05,0.00152,2.666666666666666e-07,4.222222222222224e-07,4.587819080049664e-07,-0.215,1.5276,39.0,2015.0,114.265,-14.326,,,a,,,,20.4,G,V ,"NVSS J000119+474200
",J0001+4742,8,-169,5,,1.5,7.447183098591549,8.969979715916175
J0001+6051,2358+605,+60:51:22.7980875,00:01:07.09981547,60.85633280208334,0.2795825644583333,11.0,3.378e-05,0.0001948,1.4075e-07,5.411111111111112e-08,8.732975593307037e-08,0.1619,0.2516,1.0,2015.0,116.841,-1.419,,,,,,,21.0,G,V ,"ICRF J000107.0+605122 S/X; 87GB 235833.2+603438
",J0001+6051,"2,8",67,3,,7.2,0.0,3.0
J0001-0020,2358-006,-00:20:11.5664500,00:01:11.19621500,-0.3365462361111111,0.2966508958333332,14.0,4.667e-05,0.00171,1.944583333333333e-07,4.75e-07,5.13261861779966e-07,-0.276,1.7228,39.0,2015.0,96.619,-60.615,NED (fiducial),0.5174,,0.5173,,0.5178,17.9,R,AQ,"FIRST J000111.1-002011
",J0001-0020,5,-180,5,,3.4,0.0,5.0
J0001-0656,2358-072,-06:56:24.9302200,00:01:25.58704600,-6.940258394444444,0.3566126916666666,21.0,2.933e-05,0.00099,1.2220833333333332e-07,2.75e-07,3.005691492032963e-07,-0.543,1.0221,39.0,2015.0,90.203,-66.58,LITERATURE,,a,,,,18.7,R,V ,"AT20G J000125-065624; GALEXASC J000125.57-065625.5;; z from milliquas (http://quasars.org/milliquas.htm)
",J0001-0656,8,-36,5,,1.4,0.0,5.0
J0001-0746,2358-080,-07:46:26.9219154,00:01:18.02492109,-7.7741449765,0.3251038378749999,16.0,8.92e-06,0.0002011,3.716666666666666e-08,5.5861111111111134e-08,6.690701985689583e-08,-0.0735,0.2015,3.0,2015.0,89.085,-67.29,,,,,,,16.3,R,AL,"AT20G J000118-074626
",J0001-0746,"2,8",-99,3,,3.2,4.014084507042253,5.011274731011726
J0001-1326,2358-137,-13:26:33.1436800,00:01:26.05027200,-13.442539911111112,0.3585428,22.0,0.000256,0.00817,1.0666666666666665e-06,2.2694444444444446e-06,2.495329174380552e-06,-0.634,8.5486,39.0,2015.0,79.972,-72.006,,,,,,,    , ,I ,"PKS 2358-13
",J0001-1326,5,-7,5,,18.1,21.285211267605632,21.86458823546892
J0001-1551,2358-161,-15:51:07.0752302,00:01:05.32873479,-15.851965341722222,0.2722030616249999,9.0,7.02e-06,0.0002261,2.925e-08,6.280555555555557e-08,6.882052511096566e-08,-0.2106,0.2273,1.0,2015.0,74.359,-73.764,NED (fiducial),2.044,,2.044,,,18.1,R,AQ,"ICRF J000105.3-155107 S/X; PMN J0001-1551
",J0001-1551,"2,8",-47,3,,3.6,4.014084507042253,5.011274731011726
J0002+1605,,+16:05:44.614,00:02:40.1939,16.09572611111111,0.6674745833333332,,,,,,,,,,,,,,,,,,,,,,,J0002+1605,8,169,5,,2.2,4.225352112676056,6.546266147667387
J0002+3032,0000+302,+30:32:41.5973700,00:02:49.25087200,30.544888158333336,0.7052119666666665,34.0,4e-05,0.00108,1.6666666666666665e-07,3e-07,3.325707650420689e-07,-0.0,1.08,39.0,2015.0,110.697,-31.169,NED (fiducial),2.3924,,2.392,,2.3926,18.4,R,AQ,"NVSS J000249+303241
",J0002+3032,8,-56,5,,34.0,4.014084507042253,6.411932191600021
J0002+5510,2359+548,+55:10:38.8814500,00:02:00.52929900,55.17746706944444,0.5022054125,28.0,0.000102,0.00065,4.250000000000001e-07,1.8055555555555562e-07,3.0248799191896544e-07,-0.362,0.9273,39.0,2015.0,115.859,-7.014,LITERATURE,,a,,,,19.2,R,V ,"87GB 235925.1+545358;; z from milliquas (http://quasars.org/milliquas.htm)
",J0002+5510,8,-80,5,,3.1,4.014084507042253,6.411932191600021
J0002+7459,,+74:59:47.135,00:02:31.1316,74.99642638888889,0.6297149999999999,,,,,,,,,,,,,,,,,,,,,,,J0002+7459,"5,8",-130,4,,1.8,7.447183098591549,8.453433391465719
J0002-0024,0000-006,-00:24:47.2754723,00:02:57.17531916,-0.4131320756388889,0.7382304964999999,37.0,1.58e-05,0.000575,6.583333333333333e-08,1.597222222222222e-07,1.727570279918291e-07,-0.4352,0.5856,3.0,2015.0,97.39,-60.858,NED (fiducial),0.5221,,0.5223,,0.522,19.7,R,AL,"PKS 0000-006; 2MASS J00025710-0024467; SDSS J000257.17-002447.2
",J0002-0024,5,101,5,,3.4,0.0,5.0
J0002-2114,,-21:14:20.106,00:02:49.7670,-21.23891833333333,0.7073624999999999,,,,,,,,,,,,,,,,,,,,,,,J0002-2114,"5,8",-71,4,,3.2,4.014084507042253,5.666822251463041
J0002-2153,2359-221,-21:53:09.8655460,00:02:11.98142614,-21.886073762777777,0.5499226089166666,30.0,1.333e-05,0.0004673,5.5541666666666666e-08,1.2980555555555556e-07,1.3966284449027677e-07,-0.3427,0.4723,1.0,2015.0,55.357,-77.642,,,a,,,,18.2,R,AL,"ICRF J000211.9-215309 S/X; PKS 2359-221
",J0002-2153,"2,8",10,3,,24.2,21.285211267605632,21.495586028452585
J0003+0214,0000+019,+02:14:57.4835714,00:03:14.96285112,2.249300992055556,0.812345213,42.0,1.47e-05,0.0005531,6.125e-08,1.536388888888889e-07,1.6538044582679245e-07,-0.608,0.5707,3.0,2015.0,99.47,-58.41,LITERATURE,,a,,,,19.3,R,V ,"NVSS J000315+021457; 2XMM J000314.9+021458;; z from milliquas (http://quasars.org/milliquas.htm)
",J0003+0214,"5,8",-20,4,,3.0,21.285211267605632,21.65779810383793
J0003+0717,,+07:17:13.863,00:03:23.2414,7.287184166666666,0.8468391666666666,,,,,,,,,,,,,,,,,,,,,,,J0003+0717,8,-78,5,,3.2,4.014084507042253,6.411932191600021
J0003+0841,,+08:41:38.186,00:03:59.2301,8.693940555555557,0.9967920833333334,,,,,,,,,,,,,,,,,,,,,,,J0003+0841,8,1,5,,1.6,21.285211267605632,21.86458823546892
J0003+1605,,+16:05:47.961,00:03:46.0957,16.096655833333333,0.9420654166666664,,,,,,,,,,,,,,,,,,,,,,,J0003+1605,5,160,5,,3.4,4.225352112676056,6.546266147667387
J0003+1837,0000+183,+18:37:59.0094600,00:03:01.16033100,18.633058183333333,0.7548347124999999,38.0,3.067e-05,0.00121,1.277916666666667e-07,3.361111111111111e-07,3.572594050844492e-07,-0.138,1.2117,39.0,2015.0,107.23,-42.758,LITERATURE,,a,,,,18.3,R,V ,"NVSS J000301+183759; GALEXASC J000301.12+183759.8;; z from milliquas (http://quasars.org/milliquas.htm)
",J0003+1837,"5,8",1,4,,3.4,21.285211267605632,21.65779810383793
J0003+2129,0000+212,+21:29:44.5083164,00:03:19.35000596,21.49569675455556,0.8306250248333333,45.0,6.6e-06,0.0001735,2.75e-08,4.819444444444445e-08,5.45656606967804e-08,-0.1114,0.1739,1.0,2015.0,108.269,-40.002,NED (fiducial),0.45,,0.45,,,19.6,R,A2,"ICRF J000319.3+212944 S/X; CGRaBS J0003+2129; GALEXMSC J000319.43+212946.0
",J0003+2129,"2,5,8,15",-73,3,,3.3,4.014084507042253,5.011274731011726
J0003+2459,,+24:59:38.378,00:03:16.3122,24.99399388888889,0.8179675,,,,,,,,,,,,,,,,,,,,,,,J0003+2459,"5,8",57,4,,1.6,0.0,4.0
J0003+3241,0001+324,+32:41:57.5968300,00:03:56.33863200,32.699332452777774,0.9847443,54.0,4.133e-05,0.0011,1.7220833333333337e-07,3.055555555555556e-07,3.381788254172143e-07,-0.012,1.1,39.0,2015.0,111.5,-29.116,NED (fiducial),0.5333,,,,0.5333,20.6,r,V ,"NVSS J000356+324157
",J0003+3241,"5,8",-5,4,,6.8,21.285211267605632,21.65779810383793
J0003+4807,0001+478,+48:07:04.1352661,00:03:46.04157904,48.117815351694446,0.9418399126666668,52.0,4.146e-05,0.0005023,1.7274999999999998e-07,1.395277777777778e-07,1.810209068126524e-07,-0.1189,0.5093,1.0,2015.0,114.764,-13.996,,,,,,,    , ,S ,"ICRF J000346.0+480704 S/X; JVAS J0003+4807
",J0003+4807,2,112,4,,10.8,4.225352112676056,5.818384696468256
J0003+6307,0001+628,+63:07:55.8712400,00:03:36.51153600,63.13218645555556,0.9021314,50.0,6.133e-05,0.00086,2.555416666666666e-07,2.388888888888889e-07,2.653400684917275e-07,-0.214,0.8659,39.0,2015.0,117.559,0.76,,,,,,,    , ,R ,"87GB 000058.8+625111
",J0003+6307,"5,8",-67,4,,0.9,4.014084507042253,5.666822251463041
J0003-0626,0000-067,-06:26:59.5883000,00:03:01.83168800,-6.449885638888889,0.7576320333333333,39.0,3.733e-05,0.00115,1.5554166666666666e-07,3.194444444444444e-07,3.54869934019358e-07,-0.523,1.1929,39.0,2015.0,91.663,-66.337,LITERATURE,,a,,,,18.2,R,V ,"PMN J0003-0626; GALEXASC J000301.84-062659.4;; z from milliquas (http://quasars.org/milliquas.htm)
",J0003-0626,"5,8",84,4,,3.8,0.0,4.0
J0003-1547,0000-160,-15:47:05.4553620,00:03:27.26415662,-15.784848711666667,0.8636006525833333,48.0,1.19e-05,0.0004173,4.9583333333333344e-08,1.1591666666666669e-07,1.253525264427713e-07,-0.3759,0.4231,1.0,2015.0,76.024,-74.105,NED (fiducial),0.508,,0.508,,,20.1,R,AS,"ICRF J000327.2-154705 S/X; PKS 0000-160
",J0003-1547,8,143,5,,0.7,4.225352112676056,6.546266147667387
J0003-1727,0000-177,-17:27:11.8719700,00:03:21.95490300,-17.453297769444443,0.8414787625,47.0,3e-05,0.00094,1.25e-07,2.611111111111112e-07,2.8705127466569175e-07,0.001,0.94,39.0,2015.0,71.524,-75.278,NED (fiducial),1.465,,1.465,,,18.6,R,AQ,"AT20G J000322-172711
",J0003-1727,8,73,5,,42.9,0.0,5.0
J0003-1927,0000-197,-19:27:22.3557316,00:03:18.67502835,-19.456209925444444,0.8278126181249998,44.0,1.445e-05,0.0004265,6.020833333333332e-08,1.1847222222222225e-07,1.3137170539493854e-07,-0.043,0.4266,1.0,2015.0,65.191,-76.56,NED (fiducial),2.0,,,,,20.7,R,G ,"ICRF J000318.6-192722 S/X; PKS 0000-197; GALEXASC J000318.73-192724.2
",J0003-1927,"2,8",-100,4,,2.6,4.014084507042253,5.666822251463041
J0003-1941,0000-199,-19:41:50.4018049,00:03:15.94940393,-19.697333834694444,0.8164558497083333,43.0,9.36e-06,0.0002972,3.9e-08,8.255555555555557e-08,9.035280049706925e-08,-0.1961,0.2986,1.0,2015.0,64.327,-76.695,LITERATURE,,a,,,,18.7,R,AQ,"ICRF J000315.9-194150 S/X; PMN J0003-1941; MRSS 538-058903;; z from milliquas (http://quasars.org/milliquas.htm)
",J0003-1941,2,148,4,,4.3,4.225352112676056,5.818384696468256
J0004+2019,0002+200,+20:19:42.3177240,00:04:35.75828557,20.32842159,1.1489928565416665,66.0,6.38e-06,0.0001418,2.6583333333333333e-08,3.9388888888888895e-08,4.661407098358826e-08,-0.0807,0.1421,1.0,2015.0,108.278,-41.207,NED (fiducial),0.677,,0.677,,,20.2,R,AL,"ICRF J000435.7+201942 S/X; CGRaBS J0004+2019
",J0004+2019,"8,15",75,3,,0.9,0.0,3.0
J0004+2637,0001+263,+26:37:52.4007300,00:04:23.77644100,26.631222425,1.0990685041666666,63.0,0.000156,0.00219,6.499999999999999e-07,6.083333333333334e-07,8.412364402436702e-07,-0.121,2.2757,39.0,2015.0,110.071,-35.063,,,a,,,,20.5,R,V ,"NVSS J000423+263752
",J0004+2637,5,124,5,,3.7,4.225352112676056,6.546266147667387
J0004+2946,0002+294,+29:46:15.7874200,00:04:34.63969600,29.77105206111111,1.1443320666666663,64.0,7.333e-05,0.00199,3.055416666666667e-07,5.527777777777778e-07,6.131087727474633e-07,0.335,2.0218,39.0,2015.0,110.936,-32.007,NED (fiducial),0.0512,a,0.0512,,,15.5,r,G ,"NVSS J000434+294614
",J0004+2946,5,-100,5,,5.2,4.014084507042253,6.411932191600021
J0004+3617,0001+360,+36:17:20.4068000,00:04:04.21227600,36.28900188888889,1.0175511499999998,56.0,6.733e-05,0.00197,2.805416666666666e-07,5.472222222222222e-07,5.921031891040309e-07,-0.049,1.9705,39.0,2015.0,112.362,-25.609,,,,,,,    , ,I ,"87GB 000131.3+360053
",J0004+3617,"5,8",-11,4,,6.0,21.285211267605632,21.65779810383793
J0004+4615,0001+459,+46:15:17.9706652,00:04:16.12764697,46.25499185144445,1.0671985290416666,62.0,1.117e-05,0.0001408,4.6541666666666665e-08,3.911111111111111e-08,5.0648902041362016e-08,0.0152,0.1408,1.0,2015.0,114.485,-15.842,NED (fiducial),1.81,,1.81,,,20.4,R,AQ,"ICRF J000416.1+461517 S/X; CGRaBS J0004+4615
",J0004+4615,8,-135,5,,1.2,7.447183098591549,8.969979715916175
J0004-1148,0001-120,-11:48:58.3862126,00:04:04.91500103,-11.81621839238889,1.0204791709583332,57.0,4.96e-06,0.0001484,2.0666666666666663e-08,4.122222222222223e-08,4.59181127526955e-08,-0.0974,0.1486,1.0,2015.0,84.665,-71.08,LITERATURE,,c,,,,19.1,R,AL,"ICRF J000404.9-114858 S/X; CGRaBS J0004-1148;; z from 2010ApJ...712...14M which give imaging redshift z>0.86
",J0004-1148,"2,8",91,3,,2.6,0.0,3.0
J0005+0524,0002+051,+05:24:10.8035908,00:05:20.21551014,5.403000997444445,1.3342312922499997,73.0,1.101e-05,0.0003145,4.5875e-08,8.736111111111111e-08,9.857900547415985e-08,-0.059,0.3147,1.0,2015.0,102.311,-55.612,NED (fiducial),1.887,,1.887,,,16.3,R,AL,"ICRF J000520.2+052410 S/X; UM 018
",J0005+0524,"2,8",104,3,,2.5,0.0,3.0
J0005+1609,0003+158,+16:09:49.0216064,00:05:59.23777652,16.163617112888886,1.496824068833333,80.0,8.31e-06,0.0002043,3.4624999999999994e-08,5.675e-08,6.577646801616918e-08,-0.1831,0.206,1.0,2015.0,107.318,-45.326,NED (fiducial),0.4509,,0.45,,,16.3,R,A1,"ICRF J000559.2+160949 S/X; 87GB 000325.3+155311
",J0005+1609,"2,8",116,3,,1.6,4.225352112676056,5.182045973946585
J0005+3820,0003+380,+38:20:15.1489639,00:05:57.17538691,38.33754137886111,1.4882307787916664,79.0,3.95e-06,5.09e-05,1.6458333333333333e-08,1.4138888888888888e-08,1.9145793946137392e-08,-0.1368,0.0526,1.0,2015.0,113.21,-23.674,NED (fiducial),0.234,,0.23,,,17.2,R,AQ,"ICRF J000557.1+382015 S/X; B2 0003+38A
",J0005+3820,"2,8,15",119,3,,1.1,4.225352112676056,5.182045973946585
J0005+5428,0002+541,+54:28:24.9244961,00:05:04.36334611,54.47359013780556,1.2681806087916665,68.0,1.102e-05,0.0001075,4.5916666666666664e-08,2.986111111111111e-08,4.004461118814965e-08,-0.0918,0.1091,1.0,2015.0,116.164,-7.788,NED (fiducial),0.504,,0.504,,,18.2,R,AQ,"ICRF J000504.3+542824 S/X; 87GB 000230.8+541144
",J0005+5428,"2,8",-160,3,,1.6,7.447183098591549,8.028731911326197
J0005+6923,0002+691,+69:23:59.0557500,00:05:30.47025400,69.39973770833333,1.3769593916666665,74.0,0.00059533,0.00407,2.4805416666666666e-06,1.1305555555555554e-06,1.42824392734679e-06,-0.21,4.1844,39.0,2015.0,118.886,6.89,,,,,,,    , ,I ,"87GB 000253.5+690718
",J0005+6923,5,-127,5,,0.8,7.447183098591549,8.969979715916175
J0005-0530,0003-057,-05:30:09.2942400,00:05:42.07111800,-5.502581733333333,1.4252963249999997,78.0,4.267e-05,0.00167,1.777916666666667e-07,4.638888888888889e-07,4.964998740169656e-07,-0.568,1.7127,39.0,2015.0,94.172,-65.787,LITERATURE,,a,,,,19.2,R,V ,"PMN J0005-0530; WISEA J000542.06-053009.3;; z from milliquas (http://quasars.org/milliquas.htm)
",J0005-0530,5,-27,5,,6.3,21.285211267605632,21.86458823546892
J0005-1648,0002-170,-16:48:04.6785706,00:05:17.93378939,-16.801299602944447,1.324724122458333,72.0,9.02e-06,0.0003081,3.7583333333333336e-08,8.558333333333336e-08,9.283854912858772e-08,-0.2133,0.3096,1.0,2015.0,74.614,-75.149,NED (fiducial),0.7754,,0.7754,,,18.4,R,AQ,"ICRF J000517.9-164804 S/X; PKS 0002-170
",J0005-1648,"2,8",162,3,,6.1,4.225352112676056,5.182045973946585
J0005-3445,0002-350,-34:45:49.6561390,00:05:05.92509852,-34.763793371944445,1.2746879104999995,70.0,1.603e-05,0.0005179,6.679166666666665e-08,1.438611111111111e-07,1.5396992032594497e-07,0.1211,0.5185,1.0,2015.0,352.512,-77.485,,,,,,,21.9,g,V ,"ICRF J000505.9-344549 S/X; PMN J0005-3446; 2XMM J000506.0-344548
",J0005-3445,"2,8",36,3,,3.1,0.0,3.0
J0006+0548,0003+055,+05:48:52.6416900,00:06:32.62968700,5.814622691666666,1.6359570291666667,91.0,2.6e-05,0.00077,1.0833333333333332e-07,2.138888888888889e-07,2.39508061053354e-07,-0.414,0.7907,39.0,2015.0,103.039,-55.314,,1.08,,1.08,,,19.2,R,AQ,"GALEX 2675958427274973097
",J0006+0548,8,-121,5,,1.8,7.447183098591549,8.969979715916175
J0006+1235,0003+123,+12:35:53.0980924,00:06:23.05610003,12.598082803444443,1.5960670834583333,90.0,7.26e-06,0.0001948,3.025e-08,5.411111111111112e-08,6.164043546365999e-08,-0.0804,0.1951,1.0,2015.0,106.112,-48.797,NED (fiducial),0.98,,0.98,,,16.6,R,AQ,"ICRF J000623.0+123553 S/X; NVSS J000623+123553
",J0006+1235,"2,8",77,11,,3.2,0.0,11.0
J0006+1415,0004+139,+14:15:46.7714000,00:06:57.53125700,14.262992055555555,1.7397135708333331,95.0,2.933e-05,0.00073,1.2220833333333332e-07,2.027777777777778e-07,2.348343278986833e-07,0.196,0.737,39.0,2015.0,106.956,-47.224,NED (fiducial),3.25,,3.2,,,18.9,R,AQ,"TXS 0004+139
",J0006+1415,"5,8",150,4,,3.6,4.225352112676056,5.818384696468256
J0006+1728,0004+171,+17:28:13.7660400,00:06:47.36150200,17.470490566666665,1.6973395916666665,92.0,3.333e-05,0.00092,1.38875e-07,2.555555555555556e-07,2.878483280575568e-07,0.15,0.9238,39.0,2015.0,108.03,-44.106,NED (fiducial),2.898,,2.89,,,17.9,R,AQ,"87GB 000412.0+171130
",J0006+1728,"5,8",-75,4,,5.2,4.014084507042253,5.666822251463041
J0006+2422,0004+240,+24:22:36.3922391,00:06:48.78940501,24.37677562197222,1.7032891875416667,93.0,5.9e-06,0.0001486,2.458333333333333e-08,4.1277777777777786e-08,4.6960042719979857e-08,-0.0694,0.1487,1.0,2015.0,110.118,-37.382,NED (fiducial),1.68,,1.6899,,1.6899,19.1,R,AQ,"ICRF J000648.7+242236 S/X; GALEX 2672580727554444064
",J0006+2422,8,31,1,,2.2,21.285211267605632,21.30868880777524
J0006+4135,0004+413,+41:35:11.4567300,00:06:53.31265000,41.58651575833333,1.722136041666667,94.0,0.00018867,0.00207,7.861249999999998e-07,5.749999999999999e-07,8.224062590068505e-07,-0.327,2.4122,39.0,2015.0,114.058,-20.516,,,,,,,15.4,J,G ,"NVSS J000653+413511
",J0006+4135,5,-111,5,,15.2,7.447183098591549,8.969979715916175
J0006+4822,0003+480,+48:22:37.7051900,00:06:09.62244700,48.37714033055556,1.5400935291666666,86.0,9.2e-05,0.00238,3.833333333333333e-07,6.611111111111111e-07,7.084482610005907e-07,-0.159,2.3852,39.0,2015.0,115.216,-13.815,LITERATURE,,a,,,,19.1,R,V ,"4C +48.02; GALEXASC J000609.55+482237.0;; z from milliquas (http://quasars.org/milliquas.htm)
",J0006+4822,5,54,5,,10.0,0.0,5.0
J0006-0623,0003-066,-06:23:35.3353584,00:06:13.89288482,-6.393148710666667,1.5578870200833332,87.0,2.05e-06,3.14e-05,8.541666666666665e-09,8.722222222222222e-09,1.2170974052142862e-08,-0.0235,0.0315,1.0,2015.0,93.505,-66.647,NED (fiducial),0.3467,,0.3467,,,17.1,R,AL,"ICRF J000613.8-062335 S/X; PKS 0003-066
",J0006-0623,"8,15,86",-3,3,,0.9,21.285211267605632,21.495586028452585
J0006-2955,0003-302,-29:55:50.0971757,00:06:01.12334887,-29.93058254880556,1.5046806202916665,81.0,1.728e-05,0.0005524,7.2e-08,1.5344444444444446e-07,1.656461077230343e-07,0.3906,0.5604,1.0,2015.0,14.573,-79.643,NED (fiducial),0.68,,0.68,,,17.4,R,AQ,"ICRF J000601.1-295550 S/X; AT20G J000601-295549
",J0006-2955,8,-134,5,,0.9,7.447183098591549,8.969979715916175
J0007+0226,0005+021,+02:26:32.2493306,00:07:43.84023055,2.4422914807222225,1.9326676272916663,97.0,3.808e-05,0.0015072,1.5866666666666668e-07,4.1866666666666666e-07,4.4767306592843227e-07,0.2436,1.5146,3.0,2015.0,101.612,-58.608,,,,,,,19.5, ,G ,"PKS 0005+021
",J0007+0226,5,9,5,,10.4,21.285211267605632,21.86458823546892
J0007+1027,0005+101,+10:27:44.2997087,00:07:55.67835113,10.462305474638889,1.9819931297083333,99.0,2.696e-05,0.0008104,1.1233333333333333e-07,2.251111111111111e-07,2.50754248634478e-07,-0.2763,0.8199,3.0,2015.0,105.798,-50.956,LITERATURE,2.022,,,,,20.9,R,V ,"87GB 000523.1+101039;; z from milliquas (http://quasars.org/milliquas.htm)
",J0007+1027,5,15,5,,6.9,21.285211267605632,21.86458823546892
J0007+1745,,+17:45:34.568,00:07:18.8739,17.759602222222224,1.82864125,,,,,,,,,,,,,,,,,,,,,,,J0007+1745,8,-25,5,,1.2,21.285211267605632,21.86458823546892
J0007+4008,,+40:08:29.937,00:07:41.6665,40.14164916666667,1.9236104166666663,,,,,,,,,,,,,,,,,,,,,,,J0007+4008,8,-97,5,,23.6,4.014084507042253,6.411932191600021
